N,c,Persist_Acc,Persist_Cov,RF_Acc,RF_Cov,Gap_pp
5,2.0,91.57,76.0,91.86,76.3,0.3
10,3.2,88.12,60.7,90.0,60.1,1.88
15,4.0,87.94,50.8,90.02,51.3,2.07
20,5.6,90.45,31.5,92.72,31.7,2.28
25,6.1,83.77,26.6,90.3,26.9,6.52
