N,LSTM_Base_Acc,LSTM_Sel_Acc,LSTM_BalAcc,LSTM_Coverage,RF_Sel_Acc,RF_Coverage
5,73.2,76.5,76.0,87.0,91.7,77.0
10,70.6,71.8,64.7,90.7,89.3,64.3
