N,Transition,Days,Coverage,Acc_covered,SelAcc,PersAcc,CovFrac,BalAcc,PersRatio,SameFrac,McNemar_b,McNemar_c
5,normal→normal,452,1.0,1.0,0.45845845845845845,0.987987987987988,1.0,0.5,75.48675292667899,0.9868995633187773,535,6
5,normal→invert,6,1.0,0.0,0.45845845845845845,0.987987987987988,1.0,0.5,75.48675292667899,0.9868995633187773,535,6
5,invert→invert,535,1.0,0.0,0.45845845845845845,0.987987987987988,1.0,0.5,75.48675292667899,0.9868995633187773,535,6
5,invert→normal,6,1.0,1.0,0.45845845845845845,0.987987987987988,1.0,0.5,75.48675292667899,0.9868995633187773,535,6
10,normal→normal,447,1.0,1.0,0.45791583166332667,0.9799599198396793,1.0,0.5,44.85526802218115,0.9781181619256017,531,10
10,normal→invert,10,1.0,0.0,0.45791583166332667,0.9799599198396793,1.0,0.5,44.85526802218115,0.9781181619256017,531,10
10,invert→invert,531,1.0,0.0,0.45791583166332667,0.9799599198396793,1.0,0.5,44.85526802218115,0.9781181619256017,531,10
10,invert→normal,10,1.0,1.0,0.45791583166332667,0.9799599198396793,1.0,0.5,44.85526802218115,0.9781181619256017,531,10
15,normal→normal,441,1.0,1.0,0.4573721163490471,0.9699097291875627,1.0,0.5,29.557116451016636,0.9671052631578947,526,15
15,normal→invert,15,1.0,0.0,0.4573721163490471,0.9699097291875627,1.0,0.5,29.557116451016636,0.9671052631578947,526,15
15,invert→invert,526,1.0,0.0,0.4573721163490471,0.9699097291875627,1.0,0.5,29.557116451016636,0.9671052631578947,526,15
15,invert→normal,15,1.0,1.0,0.4573721163490471,0.9699097291875627,1.0,0.5,29.557116451016636,0.9671052631578947,526,15
20,normal→normal,435,1.0,1.0,0.4568273092369478,0.9598393574297188,1.0,0.5,21.908964879852125,0.9560439560439561,521,20
20,normal→invert,20,1.0,0.0,0.4568273092369478,0.9598393574297188,1.0,0.5,21.908964879852125,0.9560439560439561,521,20
20,invert→invert,521,1.0,0.0,0.4568273092369478,0.9598393574297188,1.0,0.5,21.908964879852125,0.9560439560439561,521,20
20,invert→normal,20,1.0,1.0,0.4568273092369478,0.9598393574297188,1.0,0.5,21.908964879852125,0.9560439560439561,521,20
25,normal→normal,429,1.0,1.0,0.4562814070351759,0.949748743718593,1.0,0.5,17.320813308687615,0.9449339207048458,516,25
25,normal→invert,25,1.0,0.0,0.4562814070351759,0.949748743718593,1.0,0.5,17.320813308687615,0.9449339207048458,516,25
25,invert→invert,516,1.0,0.0,0.4562814070351759,0.949748743718593,1.0,0.5,17.320813308687615,0.9449339207048458,516,25
25,invert→normal,25,1.0,1.0,0.4562814070351759,0.949748743718593,1.0,0.5,17.320813308687615,0.9449339207048458,516,25
