N,Model,Coverage,Risk
25,RF,0.942,0.2273
25,RF,0.951,0.2336
25,RF,0.96,0.2335
25,RF,0.969,0.2324
25,RF,0.978,0.2312
25,RF,0.987,0.2342
25,RF,0.996,0.2361
25,HGB,0.001,0.0
25,HGB,0.01,0.1
25,HGB,0.019,0.0526
25,HGB,0.028,0.0714
25,HGB,0.037,0.0811
25,HGB,0.046,0.0652
25,HGB,0.055,0.0545
25,HGB,0.064,0.0469
25,HGB,0.073,0.0411
25,HGB,0.082,0.061
25,HGB,0.091,0.0549
25,HGB,0.101,0.05
25,HGB,0.11,0.0642
25,HGB,0.119,0.0593
25,HGB,0.128,0.0551
25,HGB,0.137,0.0662
25,HGB,0.146,0.069
25,HGB,0.155,0.0714
25,HGB,0.164,0.0736
25,HGB,0.173,0.0698
25,HGB,0.182,0.0663
25,HGB,0.191,0.0632
25,HGB,0.2,0.0653
25,HGB,0.209,0.0625
25,HGB,0.218,0.0645
25,HGB,0.227,0.0708
25,HGB,0.236,0.0766
25,HGB,0.245,0.0861
25,HGB,0.254,0.083
25,HGB,0.263,0.0878
25,HGB,0.272,0.0923
25,HGB,0.281,0.0929
25,HGB,0.29,0.0934
25,HGB,0.299,0.0906
25,HGB,0.309,0.1107
25,HGB,0.318,0.1139
25,HGB,0.327,0.1138
25,HGB,0.336,0.1108
25,HGB,0.345,0.1137
25,HGB,0.354,0.1165
25,HGB,0.363,0.1136
25,HGB,0.372,0.1189
25,HGB,0.381,0.1293
25,HGB,0.39,0.134
25,HGB,0.399,0.136
25,HGB,0.408,0.1379
25,HGB,0.417,0.1349
25,HGB,0.426,0.1344
25,HGB,0.435,0.1363
25,HGB,0.444,0.138
25,HGB,0.453,0.1441
25,HGB,0.462,0.1435
25,HGB,0.471,0.1429
25,HGB,0.48,0.1444
25,HGB,0.489,0.1458
25,HGB,0.498,0.1472
25,HGB,0.508,0.1505
25,HGB,0.517,0.1498
25,HGB,0.526,0.1491
25,HGB,0.535,0.1504
25,HGB,0.544,0.1516
25,HGB,0.553,0.1491
25,HGB,0.562,0.1521
25,HGB,0.571,0.1549
25,HGB,0.58,0.1525
25,HGB,0.589,0.1502
25,HGB,0.598,0.1529
25,HGB,0.607,0.154
25,HGB,0.616,0.155
25,HGB,0.625,0.1592
25,HGB,0.634,0.1664
25,HGB,0.643,0.1703
25,HGB,0.652,0.1726
25,HGB,0.661,0.1733
25,HGB,0.67,0.1754
25,HGB,0.679,0.1731
25,HGB,0.688,0.1737
25,HGB,0.697,0.1758
25,HGB,0.707,0.175
25,HGB,0.716,0.177
25,HGB,0.725,0.1748
25,HGB,0.734,0.1795
25,HGB,0.743,0.1827
25,HGB,0.752,0.1872
25,HGB,0.761,0.1889
25,HGB,0.77,0.1906
25,HGB,0.779,0.1987
25,HGB,0.788,0.2028
25,HGB,0.797,0.2068
25,HGB,0.806,0.2157
25,HGB,0.815,0.2207
25,HGB,0.824,0.2256
25,HGB,0.833,0.2304
25,HGB,0.842,0.2315
25,HGB,0.851,0.2349
25,HGB,0.86,0.2383
25,HGB,0.869,0.2439
25,HGB,0.878,0.2437
25,HGB,0.887,0.2503
25,HGB,0.896,0.2545
25,HGB,0.906,0.2597
25,HGB,0.915,0.2626
25,HGB,0.924,0.2666
25,HGB,0.933,0.2672
25,HGB,0.942,0.2679
25,HGB,0.951,0.2727
25,HGB,0.96,0.2733
25,HGB,0.969,0.2749
25,HGB,0.978,0.2775
25,HGB,0.987,0.279
25,HGB,0.996,0.2846
25,XGB,0.001,0.0
25,XGB,0.01,0.1
25,XGB,0.019,0.0526
25,XGB,0.028,0.1071
25,XGB,0.037,0.1081
25,XGB,0.046,0.087
25,XGB,0.055,0.0909
25,XGB,0.064,0.1406
25,XGB,0.073,0.137
25,XGB,0.082,0.1341
25,XGB,0.091,0.1209
25,XGB,0.101,0.11
25,XGB,0.11,0.1101
25,XGB,0.119,0.1017
25,XGB,0.128,0.1102
25,XGB,0.137,0.1029
25,XGB,0.146,0.1034
25,XGB,0.155,0.0974
25,XGB,0.164,0.092
25,XGB,0.173,0.1047
25,XGB,0.182,0.105
25,XGB,0.191,0.1263
25,XGB,0.2,0.1256
25,XGB,0.209,0.1202
25,XGB,0.218,0.1244
25,XGB,0.227,0.1195
25,XGB,0.236,0.1149
25,XGB,0.245,0.1107
25,XGB,0.254,0.1186
25,XGB,0.263,0.1145
25,XGB,0.272,0.1144
25,XGB,0.281,0.1107
25,XGB,0.29,0.1142
25,XGB,0.299,0.1208
25,XGB,0.309,0.127
25,XGB,0.318,0.1266
25,XGB,0.327,0.1323
25,XGB,0.336,0.1317
25,XGB,0.345,0.1312
25,XGB,0.354,0.1335
25,XGB,0.363,0.1357
25,XGB,0.372,0.1324
25,XGB,0.381,0.1346
25,XGB,0.39,0.1366
25,XGB,0.399,0.1385
25,XGB,0.408,0.1379
25,XGB,0.417,0.1349
25,XGB,0.426,0.1486
25,XGB,0.435,0.1478
25,XGB,0.444,0.1561
25,XGB,0.453,0.1619
25,XGB,0.462,0.1587
25,XGB,0.471,0.1557
25,XGB,0.48,0.1548
25,XGB,0.489,0.1602
25,XGB,0.498,0.1573
25,XGB,0.508,0.1545
25,XGB,0.517,0.1537
25,XGB,0.526,0.153
25,XGB,0.535,0.1523
25,XGB,0.544,0.1534
25,XGB,0.553,0.1509
25,XGB,0.562,0.1485
25,XGB,0.571,0.1496
25,XGB,0.58,0.1508
25,XGB,0.589,0.157
25,XGB,0.598,0.1597
25,XGB,0.607,0.1589
25,XGB,0.616,0.1631
25,XGB,0.625,0.1608
25,XGB,0.634,0.1601
25,XGB,0.643,0.1609
25,XGB,0.652,0.1633
25,XGB,0.661,0.1657
25,XGB,0.67,0.1664
25,XGB,0.679,0.1642
25,XGB,0.688,0.1679
25,XGB,0.697,0.1744
25,XGB,0.707,0.1792
25,XGB,0.716,0.177
25,XGB,0.725,0.1817
25,XGB,0.734,0.1877
25,XGB,0.743,0.1881
25,XGB,0.752,0.1898
25,XGB,0.761,0.1902
25,XGB,0.77,0.1919
25,XGB,0.779,0.2
25,XGB,0.788,0.2079
25,XGB,0.797,0.2131
25,XGB,0.806,0.2145
25,XGB,0.815,0.2158
25,XGB,0.824,0.2146
25,XGB,0.833,0.2135
25,XGB,0.842,0.216
25,XGB,0.851,0.2208
25,XGB,0.86,0.2255
25,XGB,0.869,0.2277
25,XGB,0.878,0.23
25,XGB,0.887,0.231
25,XGB,0.896,0.2332
25,XGB,0.906,0.2364
25,XGB,0.915,0.2374
25,XGB,0.924,0.2437
25,XGB,0.933,0.2468
25,XGB,0.942,0.2497
25,XGB,0.951,0.2474
25,XGB,0.96,0.2534
25,XGB,0.969,0.2583
25,XGB,0.978,0.258
25,XGB,0.987,0.2556
25,XGB,0.996,0.2563
25,Persistence,0.001,1.0
25,Persistence,0.01,0.7
25,Persistence,0.019,0.4211
25,Persistence,0.028,0.2857
25,Persistence,0.037,0.3243
25,Persistence,0.046,0.2609
25,Persistence,0.055,0.2364
25,Persistence,0.064,0.2188
25,Persistence,0.073,0.2192
25,Persistence,0.082,0.2317
25,Persistence,0.091,0.2418
25,Persistence,0.101,0.24
25,Persistence,0.11,0.2294
25,Persistence,0.119,0.2203
25,Persistence,0.128,0.2283
25,Persistence,0.137,0.2279
25,Persistence,0.146,0.2138
25,Persistence,0.155,0.2013
25,Persistence,0.164,0.1963
25,Persistence,0.173,0.1919
25,Persistence,0.182,0.1878
25,Persistence,0.191,0.1842
25,Persistence,0.2,0.1759
25,Persistence,0.209,0.1731
25,Persistence,0.218,0.1705
25,Persistence,0.227,0.1726
25,Persistence,0.236,0.166
25,Persistence,0.245,0.1639
25,Persistence,0.254,0.1621
25,Persistence,0.263,0.1641
25,Persistence,0.272,0.1587
25,Persistence,0.281,0.1607
25,Persistence,0.29,0.1557
25,Persistence,0.299,0.151
25,Persistence,0.309,0.1498
25,Persistence,0.318,0.1487
25,Persistence,0.327,0.1446
25,Persistence,0.336,0.1467
25,Persistence,0.345,0.1458
25,Persistence,0.354,0.1449
25,Persistence,0.363,0.1496
25,Persistence,0.372,0.1486
25,Persistence,0.381,0.153
25,Persistence,0.39,0.1521
25,Persistence,0.399,0.1537
25,Persistence,0.408,0.1576
25,Persistence,0.417,0.1614
25,Persistence,0.426,0.1627
25,Persistence,0.435,0.1663
25,Persistence,0.444,0.1697
25,Persistence,0.453,0.1729
25,Persistence,0.462,0.1739
25,Persistence,0.471,0.1706
25,Persistence,0.48,0.1695
25,Persistence,0.489,0.1745
25,Persistence,0.498,0.1774
25,Persistence,0.508,0.1782
25,Persistence,0.517,0.177
25,Persistence,0.526,0.174
25,Persistence,0.535,0.1729
25,Persistence,0.544,0.1774
25,Persistence,0.553,0.1782
25,Persistence,0.562,0.1825
25,Persistence,0.571,0.1813
25,Persistence,0.58,0.1872
25,Persistence,0.589,0.186
25,Persistence,0.598,0.1899
25,Persistence,0.607,0.1904
25,Persistence,0.616,0.1892
25,Persistence,0.625,0.1865
25,Persistence,0.634,0.187
25,Persistence,0.643,0.1844
25,Persistence,0.652,0.1849
25,Persistence,0.661,0.1869
25,Persistence,0.67,0.1874
25,Persistence,0.679,0.1864
25,Persistence,0.688,0.1854
25,Persistence,0.697,0.1888
25,Persistence,0.707,0.1935
25,Persistence,0.716,0.1938
25,Persistence,0.725,0.1942
25,Persistence,0.734,0.1959
25,Persistence,0.743,0.2003
25,Persistence,0.752,0.2005
25,Persistence,0.761,0.2021
25,Persistence,0.77,0.2037
25,Persistence,0.779,0.2052
25,Persistence,0.788,0.2054
25,Persistence,0.797,0.2081
25,Persistence,0.806,0.2145
25,Persistence,0.815,0.2145
25,Persistence,0.824,0.2134
25,Persistence,0.833,0.2147
25,Persistence,0.842,0.2208
25,Persistence,0.851,0.2208
25,Persistence,0.86,0.2243
25,Persistence,0.869,0.2231
25,Persistence,0.878,0.2243
25,Persistence,0.887,0.2276
25,Persistence,0.896,0.2287
25,Persistence,0.906,0.2309
25,Persistence,0.915,0.2297
25,Persistence,0.924,0.2318
25,Persistence,0.933,0.2349
25,Persistence,0.942,0.2369
25,Persistence,0.951,0.2389
25,Persistence,0.96,0.2429
25,Persistence,0.969,0.2459
25,Persistence,0.978,0.2456
25,Persistence,0.987,0.2495
25,Persistence,0.996,0.2553
