N,BaseRate,Coverage,Persistence,HAR_LR,RF_Sel,RF_BalAcc,RF_minus_Persist
5,22.0,74.4,97.9,78.0,96.0,79.9,-1.96
10,21.9,68.3,94.7,78.1,94.9,60.4,0.17
15,21.9,69.7,92.8,78.1,90.9,55.0,-1.91
20,21.8,70.3,90.5,78.2,87.7,50.2,-2.84
25,21.7,59.5,89.8,78.3,88.3,49.2,-1.44
