N,AUC_Abstention,AUC_VIX_Proximity,AUC_Combined,LR_pval,AUC_HAR,AUC_RF,N_calm_spikes
5,0.708,0.805,0.816,0.001,0.8,0.815,79
10,0.65,0.783,0.782,1.0,0.772,0.735,101
