N,Gap_pp,CI_lo,CI_hi,Significant
5,1.7,-0.56,4.12,False
10,2.82,0.18,5.27,True
15,4.42,-0.47,9.15,False
20,4.15,-3.09,12.7,False
25,7.36,-2.89,20.71,False
